file,line,start,end,cM,row_preview
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\dnapainter_import.csv,161,135474690,156584397,22.1,GU1800109;4;135474690;156584397;22.1;one_to_one_combined_perfect
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\dnapainter_import.csv,270,134784379,156555835,22.5,GU1800109;4;134784379;156555835;22.5;one_to_one_combined_perfect
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\dnapainter_import.csv,288,135438724,156563407,22.1,GU1800109;4;135438724;156563407;22.1;one_to_one_combined_perfect
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\dnapainter_import.csv,293,135475307,156575786,22.0,GU1800109;4;135475307;156575786;22.0;one_to_one_combined_perfect
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\dnapainter_import.csv,594,135474690,156584397,22.1,GU1800109;4;135474690;156584397;22.1;one_to_one_combined_perfect
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\dnapainter_import.csv,703,134784379,156555835,22.5,GU1800109;4;134784379;156555835;22.5;one_to_one_combined_perfect
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\dnapainter_import.csv,721,135438724,156563407,22.1,GU1800109;4;135438724;156563407;22.1;one_to_one_combined_perfect
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\dnapainter_import.csv,726,135475307,156575786,22.0,GU1800109;4;135475307;156575786;22.0;one_to_one_combined_perfect
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\one_to_one_combined_perfect.csv,161,135474690,156584397,22.1,GU1800109;;4;135474690;156584397;22.1;2563
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\one_to_one_combined_perfect.csv,270,134784379,156555835,22.5,GU1800109;;4;134784379;156555835;22.5;926
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\one_to_one_combined_perfect.csv,288,135438724,156563407,22.1,GU1800109;;4;135438724;156563407;22.1;792
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\one_to_one_combined_perfect.csv,293,135475307,156575786,22.0,GU1800109;;4;135475307;156575786;22.0;1754
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\one_to_one_combined_perfect.csv,594,135474690,156584397,22.1,GU1800109;;4;135474690;156584397;22.1;2563
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\one_to_one_combined_perfect.csv,703,134784379,156555835,22.5,GU1800109;;4;134784379;156555835;22.5;926
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\one_to_one_combined_perfect.csv,721,135438724,156563407,22.1,GU1800109;;4;135438724;156563407;22.1;792
