Rank,Kit,MatchName,TotalTriangulatedcM,TriHits,EstimatedRelationship,ClusterGroup,Sources
1,A717492,A717492,20000,1517,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
2,A773941,A773941,19932,1511,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
3,T686724,T686724,19881,1511,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
4,A639550,A639550,19843,1522,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
5,A648215,A648215,19832,1522,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
6,A931069,A931069,19681,1507,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
7,T280006,T280006,19617,1523,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
8,A005587,A005587,19521,1507,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
9,A931689,A931689,19402,1512,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
10,KS9453940,KS9453940,19299,1502,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
11,BW4660552,BW4660552,18567,1457,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
12,NH2439271,NH2439271,17839,1375,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
13,M228239,M228239,16948,1327,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
14,T551029,T551029,16178,1291,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
15,M394541,M394541,16169,1297,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
16,A521194,A521194,15879,1313,,,"triang_1710113373.csv,triang_423444393.csv"
17,A086150,A086150,15193,919,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv,triang_627700260 (version 1).xlsb.csv"
18,WV2802939,WV2802939,14811,1266,,,"triang_1710113373.csv,triang_423444393.csv"
19,M099204,M099204,14778,898,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv,triang_627700260 (version 1).xlsb.csv"
20,A709765,A709765,14598,1304,,,"triang_1710113373.csv,triang_423444393.csv"
21,AN9982138,AN9982138,14221,931,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv,triang_627700260 (version 1).xlsb.csv"
22,A328644,A328644,13234,886,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv,triang_627700260 (version 1).xlsb.csv"
23,SL1436980,SL1436980,13201,886,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv,triang_627700260 (version 1).xlsb.csv"
24,A476395,A476395,13181,881,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv,triang_627700260 (version 1).xlsb.csv"
25,CB3913825,CB3913825,13028,790,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv,triang_627700260 (version 1).xlsb.csv"
26,TM219256C1,TM219256C1,13005,867,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv,triang_627700260 (version 1).xlsb.csv"
27,A659870,A659870,12793,869,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv,triang_627700260 (version 1).xlsb.csv"
28,A844449,A844449,12770,876,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv,triang_627700260 (version 1).xlsb.csv"
29,A313753,A313753,12711,1157,,,"triang_1710113373.csv,triang_423444393.csv"
30,DV8910884,DV8910884,11814,816,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
31,WE1549796,WE1549796,11772,811,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
32,GA1652891,GA1652891,11745,1114,,,"triang_1710113373.csv,triang_423444393.csv"
33,A552487,A552487,11447,1090,,,"triang_1710113373.csv,triang_423444393.csv"
34,A554223,A554223,11428,1109,,,"triang_1710113373.csv,triang_423444393.csv"
35,M218101,M218101,11392,786,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv,triang_627700260 (version 1).xlsb.csv"
36,A320094,A320094,11392,1091,,,"triang_1710113373.csv,triang_423444393.csv"
37,FD7446847,FD7446847,11389,1121,,,"triang_1710113373.csv,triang_423444393.csv"
38,NA4500104,NA4500104,11232,946,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
39,A224647,A224647,11176,1071,,,"triang_1710113373.csv,triang_423444393.csv"
40,A624504,A624504,11131,1083,,,"triang_1710113373.csv,triang_423444393.csv"
41,A354010,A354010,11065,941,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
42,ZN5838098,ZN5838098,11053,786,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
43,A921682,A921682,10981,941,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
44,XZ4575410,XZ4575410,10894,748,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
45,LM2714784,LM2714784,10892,782,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
46,A444574,A444574,10787,1043,,,"triang_1710113373.csv,triang_423444393.csv"
47,M787262,M787262,10721,1025,,,"triang_1710113373.csv,triang_423444393.csv"
48,KH1219893,KH1219893,10720,1051,,,"triang_1710113373.csv,triang_423444393.csv"
49,TZ9129944,TZ9129944,10592,1185,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
50,TG9536093,TG9536093,10306,711,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
51,ZH6160968,ZH6160968,10243,1071,,,"triang_1710113373.csv,triang_423444393.csv"
52,M373623,M373623,10113,1020,,,"triang_1710113373.csv,triang_423444393.csv"
53,BY3448748,BY3448748,10109,738,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
54,M600838,M600838,9980,814,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv,triang_627700260 (version 1).xlsb.csv"
55,A598285,A598285,9912,1017,,,"triang_1710113373.csv,triang_423444393.csv"
56,YM4124154,YM4124154,9629,696,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
57,CD2149359,CD2149359,9620,909,,,"triang_1710113373.csv,triang_423444393.csv"
58,M195758,M195758,9551,694,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
