Rank,MatchName,Kit,TotalTriangulatedcM,TriHits,EstimatedRelationship,ClusterGroup,SourceNames
1,A717492,A717492,20000.1,1517,,,triangulation_wilma_top
2,A773941,A773941,19932.2,1511,,,triangulation_wilma_top
3,T686724,T686724,19881.3,1511,,,triangulation_wilma_top
4,A639550,A639550,19843.3,1522,,,triangulation_wilma_top
5,A648215,A648215,19832.1,1522,,,triangulation_wilma_top
6,A931069,A931069,19681.3,1507,,,triangulation_wilma_top
7,T280006,T280006,19616.7,1523,,,triangulation_wilma_top
8,A005587,A005587,19520.6,1507,,,triangulation_wilma_top
9,A931689,A931689,19401.8,1512,,,triangulation_wilma_top
10,KS9453940,KS9453940,19299.1,1502,,,triangulation_wilma_top
11,A436601,A436601,18799.0,959,,,triangulation_wilma_top
12,BW4660552,BW4660552,18567.0,1457,,,triangulation_wilma_top
13,A280974,A280974,18478.9,970,,,triangulation_wilma_top
14,A287988,A287988,18433.8,965,,,triangulation_wilma_top
15,NH2439271,NH2439271,17839.1,1375,,,triangulation_wilma_top
16,T336694,T336694,17751.8,927,,,triangulation_wilma_top
17,T150401,T150401,17677.0,932,,,triangulation_wilma_top
18,M243725,M243725,17336.0,927,,,triangulation_wilma_top
19,M228239,M228239,16948.4,1327,,,triangulation_wilma_top
20,A260323,A260323,16883.9,928,,,triangulation_wilma_top
21,EP4500653,EP4500653,16784.9,949,,,triangulation_wilma_top
22,ND4821175,ND4821175,16784.9,938,,,triangulation_wilma_top
23,CU2204265,CU2204265,16375.7,899,,,triangulation_wilma_top
24,WT9146637,WT9146637,16314.1,889,,,triangulation_wilma_top
25,T551029,T551029,16177.7,1291,,,triangulation_wilma_top
26,M394541,M394541,16169.0,1297,,,triangulation_wilma_top
27,A494274,A494274,16067.7,927,,,triangulation_wilma_top
28,A697483,A697483,15997.3,953,,,triangulation_wilma_top
29,A930759,A930759,15900.5,887,,,triangulation_wilma_top
30,A521194,A521194,15879.5,1313,,,triangulation_wilma_top
31,BU7493955,BU7493955,15770.7,936,,,triangulation_wilma_top
32,A086150,A086150,15193.2,919,,,triangulation_wilma_top
33,YV8990784,YV8990784,15035.9,894,,,triangulation_wilma_top
34,SX1439279,SX1439279,14874.2,904,,,triangulation_wilma_top
35,WV2802939,WV2802939,14811.5,1266,,,triangulation_wilma_top
36,M099204,M099204,14778.5,898,,,triangulation_wilma_top
37,A709765,A709765,14598.2,1304,,,triangulation_wilma_top
38,YB4886349,YB4886349,14241.7,872,,,triangulation_wilma_top
39,AN9982138,AN9982138,14220.8,931,,,triangulation_wilma_top
40,TH9237987,TH9237987,14201.0,842,,,triangulation_wilma_top
41,A307090,A307090,14023.9,836,,,triangulation_wilma_top
42,MT6202739,MT6202739,13973.3,843,,,triangulation_wilma_top
43,ZF4953319,ZF4953319,13615.8,886,,,triangulation_wilma_top
44,PM4444277,PM4444277,13559.7,858,,,triangulation_wilma_top
45,HL6620269,HL6620269,13547.6,879,,,triangulation_wilma_top
46,M542524,M542524,13470.6,837,,,triangulation_wilma_top
47,QQ2624319,QQ2624319,13457.4,837,,,triangulation_wilma_top
48,FJ4638972,FJ4638972,13437.6,870,,,triangulation_wilma_top
49,QG8150516,QG8150516,13398.0,836,,,triangulation_wilma_top
50,A328644,A328644,13234.1,886,,,triangulation_wilma_top
