"Extension","Count"
".pyc","7332"
".py","6927"
"","2224"
".pyi","2136"
".dat","1068"
".js","762"
".txt","271"
".json","253"
".map","240"
".pyd","126"
".typed","112"
".exe","90"
".orig","80"
".woff","75"
".md","74"
".pdf","70"
".lib","68"
".f90","61"
".h","47"
".html","44"
".png","42"
".csv","40"
".j2","32"
".f","24"
".testcase","18"
".css","15"
".pxd","15"
".dll","14"
".htm","14"
".docx","13"
".ipynb","13"
".svg","13"
".cfg","12"
".c","11"
".hpp","10"
".eot","9"
".gitignore","9"
".woff2","9"
".ico","9"
".tpl","9"
".ttf","9"
".gif","9"
".tab","8"
".rst","8"
".xml","8"
".bat","8"
".yml","7"
".pyf","7"
".pyx","7"
".lock","6"
".pdb","6"
".jpg","6"
".cpp","6"
".pys","6"
".ps1","6"
".npy","5"
".ini","5"
".yaml","5"
".lark","5"
".toml","5"
".gz","5"
".asp","5"
".tmpl","4"
".BSD","4"
".zip","4"
".APACHE","4"
".log","4"
".build","3"
".vbs","3"
".bmp","3"
".sh","3"
".po","3"
".in","3"
".code-workspace","3"
".pth","3"
".pem","3"
".zi","2"
".bak_20250809","2"
".desktop","2"
".f2py_f2cmap","2"
".pot","2"
".npz","2"
".jupyterlab-workspace","2"
".sct","1"
".xsl","1"
".iml","1"
".rc","1"
".idl","1"
".sql","1"
".TAG","1"
".mbox","1"
".sty","1"
".1","1"
".fish","1"
".name","1"
".eml","1"
".pxi","1"
".chm","1"
".fits","1"
".pkl","1"
".SHA256SUM","1"
".cmd","1"
".pc","1"
".inc","1"
".markdown-it","1"
".template","1"
".f95","1"
".egg","1"
".key","1"
".crt","1"
".bz2","1"
".mo","1"
".MIT","1"
".unicode","1"
".pyw","1"
".APACHE2","1"
".cff","1"
