kit,max_cM,example_source,example_start,example_end
A280974,36.6,triang_117615066.csv,17057138,30047732
A287988,36.6,triang_117615066.csv,17057138,30047732
A436601,36.6,triang_117615066.csv,17057138,30047732
T150401,36.6,triang_117615066.csv,17057138,30047732
T336694,36.6,triang_117615066.csv,17057138,30047732
EP4500653,34.8,triang_117615066.csv,17057138,28150815
ND4821175,34.8,triang_117615066.csv,17057138,28150815
M243725,33.2,triang_117615066.csv,17057138,27792588
WT9146637,33.2,triang_117615066.csv,17057138,27792588
A260323,33.1,triang_117615066.csv,17057138,27775797
A494274,32.7,triang_117615066.csv,17057138,27708852
A059102,31.8,triang_1257462371.csv,46231502,93767360
A243756,31.8,triang_1257462371.csv,46231502,93767360
ER4711996,30.8,triang_1257462371.csv,45147719,55194821
ZV3835534,30.8,triang_1257462371.csv,45147719,55194821
CU2204265,30.4,triang_117615066.csv,17573272,27895825
YB4886349,30.1,triang_117615066.csv,17075353,27189536
A697483,29.5,triang_117615066.csv,18229187,29904354
SX1439279,29.5,triang_117615066.csv,18232368,29904354
BU7493955,29.3,triang_117615066.csv,18270779,30047732
YV8990784,28.5,triang_117615066.csv,17789010,27785119
ZF4953319,28.5,triang_117615066.csv,18407468,30047732
DL8010615,28.1,triang_1257462371.csv,40974156,67352960
M734492,28.1,triang_1257462371.csv,40974156,67352960
UK6363170,28.1,triang_1257462371.csv,41032059,67352960
HL6620269,27.9,triang_117615066.csv,17057138,26593779
NC1891044,27.9,triang_117615066.csv,18526789,30047732
QQ2624319,27.9,triang_117615066.csv,18526789,30047732
M542524,27.8,triang_117615066.csv,18526789,29924825
TH9237987,27.8,triang_117615066.csv,18533434,29904354
A930759,27.4,triang_117615066.csv,17057138,26474659
ND3312224,27.4,triang_117615066.csv,17075353,26474659
A307090,26.7,triang_117615066.csv,17057138,26276188
TF7158247,26.7,triang_117615066.csv,17057138,26276188
LL8273631,26.3,triang_1257462371.csv,25172192,35364792
WF7101185,26.3,triang_1257462371.csv,25172192,35364792
QG8150516,26.2,triang_117615066.csv,18486282,28170166
A230467,25.8,triang_1257462371.csv,18560570,28130072
TD3665641,25.8,triang_1257462371.csv,18560570,28130072
KA4318195,25.7,triang_1257462371.csv,42131390,76751658
QV7180101,25.7,triang_1257462371.csv,42131390,76751658
EA4901487,25.6,triang_1710113373.csv,42151599,76751658
AP3240212,25.3,triang_117615066.csv,17733896,27067792
A365424,25.2,triang_117615066.csv,18489048,27925288
A082033,25.1,triang_1257462371.csv,40974156,64555255
A214547,25.1,triang_1257462371.csv,10945354,26000673
LE5772825,25.1,triang_1257462371.csv,10945354,26000673
FJ4638972,24.9,triang_117615066.csv,18545634,27899464
FQ5372611,24.5,triang_1257462371.csv,43350603,66058513
A344802,24.2,triang_1257462371.csv,11414037,28959562
MK9397208,24.2,triang_1257462371.csv,11414037,28959562
BS8381588,24.1,triang_117615066.csv,17057138,25320371
