Label,Chr,Start,End,cM,Source
GU1800109,5,148114806,171335293,32.7,one_to_one_combined_perfect
GU1800109,16,79143983,85230723,21.3,one_to_one_combined_perfect
GU1800109,6,143067927,157398175,19.4,one_to_one_combined_perfect
GU1800109,6,147185851,158980351,18.4,one_to_one_combined_perfect
GU1800109,3,61495,5490708,16.6,one_to_one_combined_perfect
GU1800109,11,107430300,122204383,20.2,one_to_one_combined_perfect
GU1800109,22,44886297,49900158,18.9,one_to_one_combined_perfect
GU1800109,18,63417004,77991527,32.1,one_to_one_combined_perfect
GU1800109,22,45498003,49900158,16.2,one_to_one_combined_perfect
GU1800109,3,179619860,189553287,19.1,one_to_one_combined_perfect
GU1800109,8,77118604,101472510,17.1,one_to_one_combined_perfect
GU1800109,19,6965278,15143453,16.3,one_to_one_combined_perfect
GU1800109,14,29230860,40342577,18.5,one_to_one_combined_perfect
GU1800109,11,45706453,93767360,32.1,one_to_one_combined_perfect
GU1800109,6,107154445,136224650,25.6,one_to_one_combined_perfect
GU1800109,6,88619412,107182045,17.9,one_to_one_combined_perfect
GU1800109,17,37036554,63111452,27.3,one_to_one_combined_perfect
GU1800109,20,24247556,41711226,10.3,one_to_one_combined_perfect
GU1800109,3,62574188,82010368,24.2,one_to_one_combined_perfect
GU1800109,1,40974156,64555255,25.1,one_to_one_combined_perfect
GU1800109,18,6001128,12399481,22.9,one_to_one_combined_perfect
GU1800109,16,101263,5023521,10.8,one_to_one_combined_perfect
GU1800109,16,5631166,12652425,18.7,one_to_one_combined_perfect
GU1800109,6,25842605,42471579,15.6,one_to_one_combined_perfect
GU1800109,2,39851566,62741416,21.2,one_to_one_combined_perfect
GU1800109,13,103828640,111153479,21.0,one_to_one_combined_perfect
GU1800109,15,42134301,60984270,17.6,one_to_one_combined_perfect
GU1800109,15,94193200,102224341,25.7,one_to_one_combined_perfect
GU1800109,22,45126775,49900158,17.7,one_to_one_combined_perfect
GU1800109,22,45446874,50345729,18.0,one_to_one_combined_perfect
GU1800109,19,7635856,15141624,14.3,one_to_one_combined_perfect
GU1800109,16,80945538,85230723,15.9,one_to_one_combined_perfect
GU1800109,19,6944843,15143453,16.4,one_to_one_combined_perfect
GU1800109,16,81244502,85531362,15.5,one_to_one_combined_perfect
GU1800109,8,27878672,77270727,42.0,one_to_one_combined_perfect
GU1800109,16,6756396,16975959,20.0,one_to_one_combined_perfect
GU1800109,6,147912444,159007004,17.6,one_to_one_combined_perfect
GU1800109,22,46258912,50345729,15.9,one_to_one_combined_perfect
GU1800109,5,159320525,178719364,38.0,one_to_one_combined_perfect
GU1800109,5,33375972,62369102,20.6,one_to_one_combined_perfect
GU1800109,18,4339053,8468304,17.3,one_to_one_combined_perfect
GU1800109,11,46231502,93767360,31.8,one_to_one_combined_perfect
GU1800109,7,106306401,130589791,18.2,one_to_one_combined_perfect
GU1800109,21,41259941,46670874,15.7,one_to_one_combined_perfect
GU1800109,22,45048253,49911908,18.1,one_to_one_combined_perfect
GU1800109,1,201067784,212457414,16.6,one_to_one_combined_perfect
GU1800109,17,13546,5830838,16.4,one_to_one_combined_perfect
GU1800109,4,169340639,184989565,25.8,one_to_one_combined_perfect
GU1800109,1,40974156,62284504,22.0,one_to_one_combined_perfect
GU1800109,12,65827996,80556864,15.7,one_to_one_combined_perfect
GU1800109,5,4725405,16408600,23.2,one_to_one_combined_perfect
GU1800109,11,45711030,78973716,21.2,one_to_one_combined_perfect
GU1800109,10,90744325,108818287,16.3,one_to_one_combined_perfect
GU1800109,15,94187859,102385044,26.3,one_to_one_combined_perfect
GU1800109,4,11414037,29060867,24.3,one_to_one_combined_perfect
GU1800109,5,8115307,16054101,14.1,one_to_one_combined_perfect
GU1800109,14,96130617,107143294,23.5,one_to_one_combined_perfect
GU1800109,22,44886297,49900158,18.9,one_to_one_combined_perfect
GU1800109,6,55766417,90683587,18.1,one_to_one_combined_perfect
GU1800109,8,76215616,119856209,31.9,one_to_one_combined_perfect
GU1800109,8,75939401,102627955,20.0,one_to_one_combined_perfect
GU1800109,8,77118604,107214049,24.3,one_to_one_combined_perfect
GU1800109,8,77118604,101472510,17.1,one_to_one_combined_perfect
