Source,Target,Shared cM,avgSegment,largestSegment,nrOfSegmentsLargestSegment,nrOfSegments,segments
A081906,BQ8717546,23.8,23.8,23.8,1,1,23.8
A081906,KA4575167,31.4,31.4,31.4,1,1,31.4
A081906,KJ6273739,23.6,23.6,23.6,1,1,23.6
A096113,A127150,26.9,26.9,26.9,1,1,26.9
A096113,A458164,26.1,26.1,26.1,1,1,26.1
A096113,DR3673310,32.9,32.9,32.9,1,1,32.9
A096113,KJ7434162,33.2,33.2,33.2,1,1,33.2
A096113,M145423,30.2,30.2,30.2,1,1,30.2
A112434,A401306,59.8,59.8,59.8,1,1,59.8
A115869,KK1409626,20.2,20.2,20.2,1,1,20.2
A119745,A221768,114.7,114.7,114.7,1,1,114.7
A127150,A096113,26.9,26.9,26.9,1,1,26.9
A127150,A458164,381.5,190.8,214.3,2,2,167.2|214.3
A127150,DR3673310,26.4,26.4,26.4,1,1,26.4
A127150,KJ7434162,26.3,26.3,26.3,1,1,26.3
A127150,M145423,31.1,31.1,31.1,1,1,31.1
A129655,PJ1453547,167.2,167.2,167.2,1,1,167.2
A139082,JJ8003920,37.1,37.1,37.1,1,1,37.1
A139082,M707052,37.1,37.1,37.1,1,1,37.1
A174229,A179314,21.6,21.6,21.6,1,1,21.6
A174229,A421826,30.5,30.5,30.5,1,1,30.5
A174229,A449518,30.6,30.6,30.6,1,1,30.6
A174229,A514251,21.7,21.7,21.7,1,1,21.7
A174229,CG1454735,26.6,26.6,26.6,1,1,26.6
A174229,HQ6656088,17.7,17.7,17.7,1,1,17.7
A174229,PM5923821,67.0,16.8,23.1,4,4,8.3|13.8|21.8|23.1
A174229,QJ6606423,44.3,44.3,44.3,1,1,44.3
A179314,A174229,21.6,21.6,21.6,1,1,21.6
A179314,A421826,22.2,22.2,22.2,1,1,22.2
A179314,A449518,21.7,21.7,21.7,1,1,21.7
A179314,A514251,130.3,65.2,104.7,2,2,25.6|104.7
A179314,CG1454735,17.6,17.6,17.6,1,1,17.6
A179314,HQ6656088,8.5,8.5,8.5,1,1,8.5
A179314,PM5923821,21.4,10.7,12.6,2,2,8.8|12.6
