file,line,chr,start,end,cM,kit1,kit2,tag1,tag2
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\dnapainter_import.csv,136,4,81209842,100045574,17.0,GU1800109,4,Toles,
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\dnapainter_import.csv,219,4,70513710,91748644,21.9,GU1800109,4,Toles,
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\dnapainter_import.csv,569,4,81209842,100045574,17.0,GU1800109,4,Toles,
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\dnapainter_import.csv,652,4,70513710,91748644,21.9,GU1800109,4,Toles,
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\dnapainter_import_allsources.csv,136,4,81209842,100045574,17.0,GU1800109,4,Toles,
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\dnapainter_import_allsources.csv,219,4,70513710,91748644,21.9,GU1800109,4,Toles,
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\dnapainter_import_allsources.csv,569,4,81209842,100045574,17.0,GU1800109,4,Toles,
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\dnapainter_import_allsources.csv,652,4,70513710,91748644,21.9,GU1800109,4,Toles,
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\one_to_one_combined_perfect.csv,136,4,81209842,100045574,17.0,GU1800109,,Toles,
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\one_to_one_combined_perfect.csv,219,4,70513710,91748644,21.9,GU1800109,,Toles,
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\one_to_one_combined_perfect.csv,569,4,81209842,100045574,17.0,GU1800109,,Toles,
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\one_to_one_combined_perfect.csv,652,4,70513710,91748644,21.9,GU1800109,,Toles,
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\one_to_one_combined_perfect.csv,1564,4,81209842,100045574,17.0,,,,
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\one_to_one_combined_perfect.csv,2073,4,81209842,100045574,17.0,,,,
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\one_to_one_combined_perfect.csv,3121,4,81209842,100045574,17.0,,,,
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\one_to_one_combined_perfect.csv,3208,4,70513710,91748644,21.9,,,,
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\one_to_one_combined_perfect.csv,3218,4,81209842,100045574,17.0,,,,
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\one_to_one_combined_perfect.csv,3226,4,81209842,100045574,17.0,,,,
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\one_to_one_combined_perfect.csv,3413,4,70513710,91748644,21.9,,,,
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\one_to_one_combined_perfect.csv,4170,4,81209842,100045574,17.0,,,,
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\one_to_one_combined_perfect.csv,4171,4,70513710,91748644,21.9,,,,
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\one_to_one_combined_perfect.csv,4755,4,81209842,100045574,17.0,,,,
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\one_to_one_combined_perfect.csv,4763,4,70513710,91748644,21.9,,,,
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\one_to_one_combined_perfect.csv,4826,4,81209842,100045574,17.0,HC,,,
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\one_to_one_combined_perfect.csv,5046,4,81209842,100045574,17.0,,,,
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\one_to_one_combined_perfect.csv,5668,4,70513710,91748644,21.9,,,,
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\one_to_one_combined_perfect.csv,6628,4,81209842,100045574,17.0,,,,
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\one_to_one_combined_perfect.csv,6828,4,70513710,91748644,21.9,,,,
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\one_to_one_combined_perfect.csv,7410,4,70513710,91748644,21.9,,,,
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\one_to_one_combined_perfect.csv,7516,4,70513710,91748644,21.9,,,,
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\one_to_one_combined_perfect.csv,8462,4,81209842,100045574,17.0,,,,
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\one_to_one_combined_perfect.csv,8776,4,81209842,100045574,17.0,,,,
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\outputs\one_to_one_combined_perfect.csv,9049,4,70513710,91748644,21.9,,,,
C:\Users\irato\OneDrive\Documents\genealogy.2\genealogy-\scripts\csvsegmatch_.csv,119,4,63482692,100729255,31.8,AK6981890,ZA6390432,,
